time,open,high,low,close,volume
2025-07-12 00:00:00+00:00,310.0,311.0,310.0,310.2,873720
2025-07-13 00:00:00+00:00,310.5,310.91,308.8,309.44,1066040
2025-07-14 00:00:00+00:00,308.96,318.85,304.38,317.97,59042270
2025-07-15 00:00:00+00:00,318.16,320.43,316.6,319.99,40470270
2025-07-16 00:00:00+00:00,320.0,322.0,319.54,321.58,36861670
2025-07-17 00:00:00+00:00,321.26,329.23,321.19,327.05,91182020
2025-07-18 00:00:00+00:00,300.45,309.4,300.25,309.0,115982520
2025-07-19 00:00:00+00:00,309.69,313.91,309.59,312.42,9029970
2025-07-20 00:00:00+00:00,313.49,313.78,312.05,312.58,4921320
2025-07-21 00:00:00+00:00,312.99,314.56,309.31,310.4,44824260
2025-07-22 00:00:00+00:00,310.65,311.72,308.55,310.67,26942000
2025-07-23 00:00:00+00:00,311.0,314.49,310.78,313.08,37399400
2025-07-24 00:00:00+00:00,313.09,313.99,309.75,310.83,27841890
2025-07-25 00:00:00+00:00,310.86,311.76,306.0,308.93,50866870
2025-07-26 00:00:00+00:00,309.35,309.95,308.86,308.91,1339260
2025-07-27 00:00:00+00:00,308.86,309.15,308.12,308.83,1768030
2025-07-28 00:00:00+00:00,309.44,309.45,303.54,303.97,38627240
2025-07-29 00:00:00+00:00,304.77,308.26,303.05,305.26,30696940
2025-07-30 00:00:00+00:00,305.58,306.2,303.2,303.3,14499120
2025-07-31 00:00:00+00:00,303.9,305.79,302.81,304.95,19884770
2025-08-01 00:00:00+00:00,305.41,307.5,302.89,304.22,18473506
2025-08-04 00:00:00+00:00,305.3,308.12,304.5,307.95,28420639
2025-08-05 00:00:00+00:00,307.97,308.67,305.25,307.38,21497509
2025-08-06 00:00:00+00:00,307.4,312.96,303.33,310.22,59949361
2025-08-07 00:00:00+00:00,310.22,316.5,308.76,313.43,72089666
2025-08-08 00:00:00+00:00,314.68,317.98,312.6,317.97,34959877
2025-08-11 00:00:00+00:00,321.72,322.9,317.05,317.82,42436965
2025-08-12 00:00:00+00:00,318.17,318.99,316.6,318.0,18765577
2025-08-13 00:00:00+00:00,318.0,319.7,317.05,317.51,21127896
2025-08-14 00:00:00+00:00,317.6,319.2,314.81,318.73,26459276
2025-08-15 00:00:00+00:00,318.9,320.5,318.45,319.4,26071682
2025-08-16 00:00:00+00:00,316.86,316.88,310.03,315.17,10296497
2025-08-17 00:00:00+00:00,315.5,315.8,314.8,314.97,1902692
2025-08-18 00:00:00+00:00,315.01,319.89,314.3,318.38,35044641
2025-08-19 00:00:00+00:00,318.98,319.73,316.29,316.5,21879576
2025-08-20 00:00:00+00:00,316.53,317.51,313.02,314.17,18653270
2025-08-21 00:00:00+00:00,314.17,315.1,309.28,309.98,30815394
2025-08-22 00:00:00+00:00,310.11,312.49,309.75,312.05,15495808
2025-08-23 00:00:00+00:00,312.11,312.5,311.55,312.3,567839
2025-08-24 00:00:00+00:00,312.3,312.45,311.5,311.84,730827
2025-08-25 00:00:00+00:00,311.84,312.3,308.75,311.42,15298883
2025-08-26 00:00:00+00:00,311.11,314.0,310.5,311.79,11297232
2025-08-27 00:00:00+00:00,312.0,313.78,311.06,312.78,11692831
2025-08-28 00:00:00+00:00,313.03,314.5,310.12,310.82,20309447
2025-08-29 00:00:00+00:00,311.18,311.82,308.95,310.04,14855695
2025-08-30 00:00:00+00:00,309.99,310.54,309.71,309.92,780762
2025-08-31 00:00:00+00:00,309.92,311.24,309.92,310.99,1093718
2025-09-01 00:00:00+00:00,310.86,312.5,308.82,309.2,11045087
2025-09-02 00:00:00+00:00,309.2,310.1,307.05,308.44,17407779
2025-09-03 00:00:00+00:00,308.45,309.68,307.21,309.49,10482402
2025-09-04 00:00:00+00:00,309.6,310.8,307.5,308.74,12848837
2025-09-05 00:00:00+00:00,309.1,311.16,308.8,310.5,11650553
2025-09-06 00:00:00+00:00,310.5,310.9,310.1,310.13,654610
2025-09-07 00:00:00+00:00,310.13,311.0,310.13,310.69,734383
2025-09-08 00:00:00+00:00,310.44,313.26,310.31,312.83,16963643
2025-09-09 00:00:00+00:00,313.0,314.25,311.62,313.06,17116843
2025-09-10 00:00:00+00:00,313.65,313.65,310.51,310.9,10215510
